Author,Date,Title,Journal,Journal ID,Volume,Page Start,Page End,Keword,Keword2,Reprint,LookupNumber,PDF
"Baumgardner, D.E.",2007.,New species of Leptohyphidae (Ephemeroptera) from Costa Rica.,,309,109,416,426,"Leptohyphidae, Leptohyphes, Tricorythodes, Costa Rica",PDF,0,1092,1
"Baumgardner, D.E. and D.E. Bowles.",2005.,Preliminary surveyof the mayflies (Ephemeroptera) and caddisflies (Trichoptera) of Big Bend Ranch State Park and Big Bend National Park.,Journal of Insect Science,0,5:28,,,"Ephemeroptera, Trichoptera, Big Bend, survey",,0,991,1
"Baumgardner, D.E. and N.A. Wiersema.",1999.,Additions to the inventory of Texas mayflies (Ephemeroptera).,,141,110,70,71,"Ephemeroptera, Texas",,1,603,1
"Baumgardner, D.E. and S. Avila.",2006,"^Cabecar serratus^, a new genus and species of leptohyphid mayfly from Central America, and description of the imaginal stages of ^Tricorythodes sordidus^ Allen (Ephemeroptera: Leptohyphidae).",,1917,1187,47,59,"Cabecar serratus, Tricorythodes sordidus, Costa Rica",,0,1057,1
"Baumgardner, D.E. and W.P. McCafferty.",2000.,^Leptohyphes zalope^ (Ephemeroptera: Leptohyphidae): a polytypic North and Central American species.,,141,111,49,59,"Leptohyphidae, Leptohyphes",,1,654,0
"Baumgardner, D.E. and W.P. McCafferty.",2010.,Revision of the genus ^Leptohyphes^ Eaton (Ephemeroptera: Leptohyphidae) in North and Central America.,,1917,2360,1,33,"Leptohyphidae, Leptohyphes, Central America, North America",PDF,0,1125,1
"Baumgardner, D.E., J.H. Kennedy, and B.C. Henry.",1997.,New and additional records of Texas mayflies (Insecta: Ephemeroptera).,,376,123,55,69,"Texas, Baetidae, Caenidae, Ephemerellidae, Ephemeridae, Isonychiidae, Leptohyphidae, Leptophlebiidae, Polymitarcyidae",PDF,0,523,1
"Baumgardner, D.E., M.D. Meyer, and W.P. McCafferty.",2006.,A new species of Asioplax (Ephemeroptera: Leptohyphidae) from Costa Rica and Nicaragua.,,323,82,346,350,"Costa Rica, Nicaragua, Leptohyphidae, Asioplax, new species, Tricorythodes",PDF,0,1093,1
"Baumgardner, D.E., S.K. Burian, and D. Bass.",2003.,"Life stage descriptions, taxonomic notes, and new records for the mayfly family Leptohyphidae (Ephemeroptera).",,1917,332,1,12,"Leptohyphidae, Tricorythodes, Asioplax, Leptohyphes, Allenhyphes",,1,836,1
"Bednarik, A.F. and W.P. McCafferty.",1979.,Biosystematic revision of the genus ^Stenonema^ (Ephemeroptera: Heptageniidae).,Can. Bull. Fish. Aquat. Sci.,,201,1,73,"Ephemeroptera, Heptageniidae, Stenonema, systematics, taxonomy",,0,431,0
"Bednarik, Andrew F. and G.F. Edmunds, Jr.",1980.,Descriptions of larval ^Heptagenia^ from the Rocky Mountain region (Ephemeroptera: Heptageniidae).,,323,56,51,62,"Ephemeroptera, Heptageniidae, Heptagenia, systematics, taxonomy",,1,188,1
"Belfiore, C.",1994.,"Taxonomic characters for species identification in the genus ^Electrogena^ Zurwerra and Tomka, with a description of ^Electrogena hyblaea^ sp. n. from Sicily (Ephemeroptera, Heptageniidae).",,423,16,193,199,"Ephemeroptera, Heptageniidae, Electrogena hyblaea, Sicily, taxonomy, systematics",,0,420,1
"Belfiore, C. and M. Sartori.",1999,"Redescription of ^Electrogena galilaea (Demoulin, 1973) (Ephemeroptera, Heptageniidae).",,356,106,1025,1034,"Heptageniidae, Electrogena galilae, taxonomy, Lebanon, Israel",,1,719,0
"Belfiore, Carlo",1983,,,0,,1,112,"Italy, biodiversity, mayflies, Ephemeroptera",,1,884,0
"Belfiore, Carlo.",1986.,"Contribution to the knowledge of the Heptageniidae of Greece, with a description of ^Ecdyonurus moreae^ sp. n. (Ephemeroptera).",,423,8,191,195,"Ephemeroptera, Heptageniidae, Ecdyonurus, new species, Greece",,0,95,1
"Benke, A.C.",1990.,A perspective on America's vanishing streams.,,1509,9,77,88,"stream, river, dam, stream conservation, stream exploitation, Wild and Scenic Rivers, National Rivers",,0,288,1
"Benke, A.C. and D.I. Jacobi.",1986.,Growth rates of mayflies in a subtropical river and their implications for secondary production.,,1509,5,107,114,"Ephemeroptera, life history, production, stream ecology",,0,80,1
"Benke, A.C. and J.B. Wallace.",1980.,Trophic basis of production among net-spinning caddisflies in a southern Appalachian stream.,,132,61,108,118,"Trichoptera, production, life history, production, food habits, Hydropsychidae, Philopotamidae, spiralling",,0,268,1
"Benton, M.J. and G. Pritchard.",1988.,New methods for mayfly instar number determination and growth curve estimation.,,1614,4,361,367,"production, life history, life cycle, instars",,0,335,1
"Bergman, E.A. and W.L. Hilsenhoff.",1978.,^Baetis^ (Ephemeroptera: Baetidae) of Wisconsin.,,175,11,125,135,"Ephemeroptera, Baetidae, Baetis brunneicolor, frondalis, Diphetor hageni, intercalaris, levitans, Acerpenna macdunnoughi, phoebus, propinquus, pygmaeus, spinosus, vagans, life cycle, ecology, Wisconsin",,1,298,1
"Bergman, E.A. and W.L. Hilsenhoff.",1978.,Parthenogenesis in the mayfly genus ^Baetis^ (Ephemeroptera: Baetidae).,,15,71,167,168,"Ephemeroptera, Baetis, parthenogenesis",,1,468,1
"Bergman, E.A. and W.L. Hilsenhoff.",1978.,"Description of the nymph of ^Centroptilum walshi^ (Ephemeroptera: Baetidae), with biological notes.",,175,11,81,84,"Ephemeroptera, Baetidae, Centroptilum walshi",,0,470,0
"Berner, L.",1956.,The genus ^Neoephemera^ in North America (Ephemeroptera: Neoephemeridae).,,15,49,33,42,"Ephemeroptera, Neoephemeridae, Neoephemera, systematics, taxonomy",,0,253,1
"Berner, L.",1946.,New species of Florida mayflies (Ephemeroptera).,,165,28,60,82,"Leptophlebiidae, Habrophlebiodes brunneipennis, Choroterpes hubbelli, Ephemerellidae, Ephemerella, Leptohyphidae, Tricorythodes, Caenidae, Brachycercus, Baetiae, Pseudocloeon, Centroptilum",,0,270,1
"Berner, L.",1977.,Distributional patterns of southeastern mayflies (Ephemeroptera).,,1847,22,1,55,"Southeastern United States, distributions, biodiversity",,1,332,0
"Berner, L.",1949.,A report on two mayfly gynandromorphs.,,165,32,105,109,"Baetidae, gynandromorph",,1,590,0
"Berner, L.",1953.,New mayfly records from Florida and a description of a new species.,,165,34,145,149,"Florida, Neoephemera youngi",,1,591,0
"Berner, L.",1983.,The mayfly ^Siphlonurus phyllis^ McDunnough (Ephemeroptera: Siphlonuridae): its discovery in Minnesota.,,309,85,665,669,"Minnesota, Siphlonuridae, Siphlonurus",,1,593,0
"Berner, L.",????,II. Ephemeroptera Nymphs,Altiplano Aquatic Insects [part of book?],0,,187,194,"Peru, Baetidae, Leptophlebiidae, Leptohyphidae",,1,875,0
"Berner, L. and R.K. Allen.",1961.,Southeastern species of the mayfly subgenus ^Serratella^ (^Ephemerella^: Ephemerellidae),,165,44,149,158,"Ephemerellidae, Ephemerella, Serratella, Ecology, Biology",,0,239,1
"Berner, L. and R.K. Allen.",1961.,Southeastern species of the mayfly subgenus ^Serratella^ (^Ephemerella^: Ephemerellidae),,165,44,149,158,"Ephemerellidae, Ephemerella, Serratella, Ecology, Biology",,0,259,1
"Berner, Lewis.",1978.,A review of the mayfly family Metretopodidae.,,376,104,91,137,"Ephemeroptera, Metretopodidae, systematics, Siphloplecton, Metretopus, speciosum, fuscum, costalense, interlineatum, brunneum, simile, basalealter, borealis",,0,87,0
"Berner, Lewis.",1975.,The mayfly family Leptophlebiidae in the Southeastern United States.,,165,58,137,153,"Ephemeroptera, Leptophlebiidae, Choroterpes, Habrophlebia, Habrophlebiodes, Leptophlebia, Paraleptophlebia, distributions",,1,202,1
"Berry, E.W.",????,New or hitherto unknown ephemerid nymphs of the Eastern United States.,,88,47,25,31,"Habrophlebia americana, Blasturus cupidus, Callibaetis ferruginea,",,0,223,1
"Blair, W. Frank.",1950.?,The biotic provinces of Texas.,,1791,2,93,117,"Texas, geology, biotic provinces",,0,524,1
